id,year,treated,age,educ,black,married,nodegree,dwincl,re74,hisp,early_ra,sample,experimental,re
1.0,1975.0,,42.0,16.0,0.0,1.0,0.0,,0.0,0.0,,2.0,0.0,0.0
1.0,1978.0,,42.0,16.0,0.0,1.0,0.0,,0.0,0.0,,2.0,0.0,100.48540496826172
2.0,1975.0,,20.0,13.0,0.0,0.0,0.0,,2366.794189453125,0.0,,2.0,0.0,3317.4677734375
2.0,1978.0,,20.0,13.0,0.0,0.0,0.0,,2366.794189453125,0.0,,2.0,0.0,4793.7451171875
3.0,1975.0,,37.0,12.0,0.0,1.0,0.0,,25862.322265625,0.0,,2.0,0.0,22781.85546875
3.0,1978.0,,37.0,12.0,0.0,1.0,0.0,,25862.322265625,0.0,,2.0,0.0,25564.669921875
4.0,1975.0,,48.0,12.0,0.0,1.0,0.0,,21591.12109375,0.0,,2.0,0.0,20839.35546875
4.0,1978.0,,48.0,12.0,0.0,1.0,0.0,,21591.12109375,0.0,,2.0,0.0,20550.744140625
5.0,1975.0,,51.0,12.0,0.0,1.0,0.0,,21395.193359375,0.0,,2.0,0.0,21575.177734375
5.0,1978.0,,51.0,12.0,0.0,1.0,0.0,,21395.193359375,0.0,,2.0,0.0,22783.587890625
6.0,1975.0,,18.0,11.0,0.0,0.0,1.0,,1310.74951171875,0.0,,2.0,0.0,1455.5322265625
6.0,1978.0,,18.0,11.0,0.0,0.0,1.0,,1310.74951171875,0.0,,2.0,0.0,2157.480712890625
7.0,1975.0,,52.0,15.0,0.0,1.0,0.0,,25862.322265625,0.0,,2.0,0.0,25243.548828125
7.0,1978.0,,52.0,15.0,0.0,1.0,0.0,,25862.322265625,0.0,,2.0,0.0,25564.669921875
8.0,1975.0,,39.0,16.0,0.0,1.0,0.0,,25862.322265625,0.0,,2.0,0.0,25243.548828125
8.0,1978.0,,39.0,16.0,0.0,1.0,0.0,,25862.322265625,0.0,,2.0,0.0,25564.669921875
9.0,1975.0,,44.0,12.0,0.0,1.0,0.0,,25862.322265625,0.0,,2.0,0.0,25243.548828125
9.0,1978.0,,44.0,12.0,0.0,1.0,0.0,,25862.322265625,0.0,,2.0,0.0,25564.669921875
10.0,1975.0,,51.0,12.0,0.0,1.0,0.0,,25862.322265625,0.0,,2.0,0.0,25243.548828125
